2021-06-21 04:56:49,595 p=2295 u=root n=ansible | skipping: [localhost]
2021-06-21 04:56:49,604 p=2295 u=root n=ansible | TASK [Copy artifacts to files directory] ***********************************************************************************************************
2021-06-21 04:56:50,474 p=2295 u=root n=ansible | ok: [localhost] => (item=/root/scripts/ansible-aws-vpc/provision-stack/Vprofile-repo/target/vprofile-v2.war)
2021-06-21 04:56:50,483 p=2295 u=root n=ansible | TASK [Copy SQL file to files directory] ************************************************************************************************************
2021-06-21 04:56:50,904 p=2295 u=root n=ansible | ok: [localhost]
2021-06-21 04:56:50,920 p=2295 u=root n=ansible | PLAY [Set host to ip mapping in /etc/hosts file of all the instances in the stack] *****************************************************************
2021-06-21 04:56:50,924 p=2295 u=root n=ansible | TASK [Gathering Facts] *****************************************************************************************************************************
2021-06-21 04:56:55,062 p=2295 u=root n=ansible | fatal: [cntl]: UNREACHABLE! => {"changed": false, "msg": "Failed to connect to the host via ssh: ssh: Could not resolve hostname cntl: Temporary failure in name resolution", "unreachable": true}
2021-06-21 04:56:55,316 p=2295 u=root n=ansible | ok: [mc01]
2021-06-21 04:56:55,323 p=2295 u=root n=ansible | ok: [web01]
2021-06-21 04:56:55,413 p=2295 u=root n=ansible | ok: [rmq01]
2021-06-21 04:56:55,414 p=2295 u=root n=ansible | ok: [app01]
2021-06-21 04:56:56,664 p=2295 u=root n=ansible | ok: [db01]
2021-06-21 04:56:56,678 p=2295 u=root n=ansible | TASK [Import VPC setup Variable] *******************************************************************************************************************
2021-06-21 04:56:56,724 p=2295 u=root n=ansible | ok: [web01]
2021-06-21 04:56:56,744 p=2295 u=root n=ansible | ok: [app01]
2021-06-21 04:56:56,769 p=2295 u=root n=ansible | ok: [rmq01]
2021-06-21 04:56:56,772 p=2295 u=root n=ansible | ok: [mc01]
2021-06-21 04:56:56,780 p=2295 u=root n=ansible | ok: [db01]
2021-06-21 04:56:56,788 p=2295 u=root n=ansible | TASK [Update hosts file for all the hosts] *********************************************************************************************************
2021-06-21 04:56:57,403 p=2295 u=root n=ansible | changed: [db01]
2021-06-21 04:56:57,916 p=2295 u=root n=ansible | changed: [rmq01]
2021-06-21 04:56:57,975 p=2295 u=root n=ansible | ok: [web01]
2021-06-21 04:56:57,978 p=2295 u=root n=ansible | ok: [mc01]
2021-06-21 04:56:57,983 p=2295 u=root n=ansible | ok: [app01]
2021-06-21 04:56:58,000 p=2295 u=root n=ansible | PLAY [Setup Mysql with accounts db and remote login] ***********************************************************************************************
2021-06-21 04:56:58,015 p=2295 u=root n=ansible | TASK [Installing Mysql Service and dependencies] ***************************************************************************************************
2021-06-21 05:00:07,593 p=2295 u=root n=ansible | failed: [db01] (item=mysql-server) => {"ansible_loop_var": "item", "changed": false, "item": "mysql-server", "msg": "Failed to update apt cache: unknown reason"}
2021-06-21 05:03:14,009 p=2295 u=root n=ansible | failed: [db01] (item=mysql-client) => {"ansible_loop_var": "item", "changed": false, "item": "mysql-client", "msg": "Failed to update apt cache: unknown reason"}
2021-06-21 05:06:20,983 p=2295 u=root n=ansible | failed: [db01] (item=python-mysqldb) => {"ansible_loop_var": "item", "changed": false, "item": "python-mysqldb", "msg": "Failed to update apt cache: unknown reason"}
2021-06-21 05:09:31,235 p=2295 u=root n=ansible | failed: [db01] (item=python3-mysqldb) => {"ansible_loop_var": "item", "changed": false, "item": "python3-mysqldb", "msg": "Failed to update apt cache: unknown reason"}
2021-06-21 05:12:40,565 p=2295 u=root n=ansible | failed: [db01] (item=libmysqlclient-dev) => {"ansible_loop_var": "item", "changed": false, "item": "libmysqlclient-dev", "msg": "Failed to update apt cache: unknown reason"}
2021-06-21 05:12:40,566 p=2295 u=root n=ansible | ...ignoring
2021-06-21 05:12:40,576 p=2295 u=root n=ansible | TASK [Start and enable mysql service] **************************************************************************************************************
2021-06-21 05:12:41,333 p=2295 u=root n=ansible | fatal: [db01]: FAILED! => {"changed": false, "msg": "Could not find the requested service mysql: host"}
2021-06-21 05:12:41,334 p=2295 u=root n=ansible | PLAY RECAP *****************************************************************************************************************************************
2021-06-21 05:12:41,334 p=2295 u=root n=ansible | app01                      : ok=3    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2021-06-21 05:12:41,335 p=2295 u=root n=ansible | cntl                       : ok=0    changed=0    unreachable=1    failed=0    skipped=0    rescued=0    ignored=0   
2021-06-21 05:12:41,335 p=2295 u=root n=ansible | db01                       : ok=4    changed=1    unreachable=0    failed=1    skipped=0    rescued=0    ignored=1   
2021-06-21 05:12:41,335 p=2295 u=root n=ansible | localhost                  : ok=5    changed=0    unreachable=0    failed=0    skipped=1    rescued=0    ignored=0   
2021-06-21 05:12:41,335 p=2295 u=root n=ansible | mc01                       : ok=3    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2021-06-21 05:12:41,336 p=2295 u=root n=ansible | rmq01                      : ok=3    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
